metricID,theme,responseOpt,dataVizType,metricname,,,,,,,,,,,,,,
48,Sources of Revenue,"Received, Did not receive",portionSingle,FndRaise_Corp_Found_Grnt_Rcv,,,,,,,,,,,,,,
49,Sources of Revenue,"Received, Did not receive",portionSingle,FndRaise_CFGrnt_Rcv,,,,,,,,,,,,,,
50,Sources of Revenue,"Received, Did not receive",portionSingle,GovFunding,,,,,,,,,,,,,,
52,Sources of Revenue,"Received, Did not receive",portionSingle,CARES_Rcv,,,,,,,,,,,,,,
53,Sources of Revenue,"Significant decrease, Decrease, No change, Increase, Significant increase",portionMultipleChoice,FndRaise_DAF_Grnt_Chng,,,,,,,,,,,,,,
54,Sources of Revenue,"Significant decrease, Decrease, No change, Increase, Significant increase",portionMultipleChoice,FndRaise_Priv_Grnt_Chng,,,,,,,,,,,,,,
55,Sources of Revenue,"Significant decrease, Decrease, No change, Increase, Significant increase",portionMultipleChoice,FndRaise_Corp_Grnt_Chng,,,,,,,,,,,,,,
56,Sources of Revenue,"Significant decrease, Decrease, No change, Increase, Significant increase",portionMultipleChoice,PrgSrvc_Amt_Fee,,,,,,,,,,,,,,
57,Sources of Revenue,"Significant decrease, Decrease, No change, Increase, Significant increase",portionMultipleChoice,FndRaise_TotExp,,,,,,,,,,,,,,
58,Sources of Revenue,"Significant decrease, Decrease, No change, Increase, Significant increase",portionMultipleChoice,FndRaise_TotDigAppeal,,,,,,,,,,,,,,
59,Sources of Revenue,"Significant decrease, Decrease, No change, Increase, Significant increase",portionMultipleChoice,FndRaise_TotDirMail,,,,,,,,,,,,,,
60,Sources of Revenue,"Significant decrease, Decrease, No change, Increase, Significant increase",portionMultipleChoice,FndRaise_TotVirtEvent,,,,,,,,,,,,,,
61,Sources of Revenue,"Significant decrease, Decrease, No change, Increase, Significant increase",portionMultipleChoice,FndRaise_TotInPersEvent,,,,,,,,,,,,,,
63,Workforce,Women,quantSingle,PercentDem_Women_Staff,,,,,,,,,,,,,,
65,Workforce,Regular volunteers,quantSingle,Staff_RegVlntr,,,,,,,,,,,,,,
66,Workforce,Episodic volunteers,quantSingle,Staff_EpsdVlntr,,,,,,,,,,,,,,
68,Workforce,Women,quantSingle,PercentDem_Women_Board,,,,,,,,,,,,,,
70,Workforce,LGBTQ+,quantSingle,PercentDem_LGBTQ_Board,,,,,,,,,,,,,,
71,Workforce,Disabled,quantSingle,PercentDem_Disabled_Board,,,,,,,,,,,,,,
72,Workforce,Under 35 years old,quantSingle,PercentDem_Young_Board,,,,,,,,,,,,,,
73,Workforce,Past or current recipient of nonprofits’ services,quantSingle,PercentDem_ReceivedServices_Board,,,,,,,,,,,,,,
74,Workforce,Person of color,quantSingle,PercentDem_POC_Staff,,,,,,,,,,,,,,
75,Workforce,LGBTQ+,quantSingle,PercentDem_LGBTQ_Staff,,,,,,,,,,,,,,
76,Workforce,Disabled,quantSingle,PercentDem_Disabled_Staff,,,,,,,,,,,,,,
77,Workforce,Under 35 years old,quantSingle,PercentDem_Young_Staff,,,,,,,,,,,,,,
78,Workforce,Past or current recipient of nonprofits’ services,quantSingle,PercentDem_ReceivedServices_Staff,,,,,,,,,,,,,,
79,Workforce,Number of board members,quantSingle,Staff_Boardmmbr,,,,,,,,,,,,,,
80,Workforce,Person of color,quantSingle,PercentDem_POC_Board,,,,,,,,,,,,,,
85,Workforce,"Person of color, Not person of color",portionSingle,CEOrace,,,,,,,,,,,,,,
86,Workforce,"LGBTQ+, Not LGBTQ+",portionSingle,Dem_CEO_LGBTQ,,,,,,,,,,,,,,
87,Workforce,"Disabled, Not disabled",portionSingle,Dem_CEO_Disabled,,,,,,,,,,,,,,
88,Workforce,"Under 35 years old, Not under 35 years old",portionSingle,Dem_CEO_Age,,,,,,,,,,,,,,
89,Workforce,"Person of color, Not person of color",portionSingle,Bchairrace,,,,,,,,,,,,,,
90,Workforce,"LGBTQ+, Not LGBTQ+",portionSingle,Dem_BChair_LGBTQ,,,,,,,,,,,,,,
91,Workforce,"Disabled, Not disabled",portionSingle,Dem_BChair_Disabled,,,,,,,,,,,,,,
92,Workforce,"Under 35 years old, Not under 35 years old",portionSingle,Dem_BChair_Age,,,,,,,,,,,,,,
93,Workforce,"0, 1, 2-9, 10-49, 50+",portionMultipleChoice,Staff_Fulltime,,,,,,,,,,,,,,
94,Workforce,"0, 1, 2-9, 10-49, 50+",portionMultipleChoice,Staff_Parttime,,,,,,,,,,,,,,
95,Workforce,"Man, Not a man",portionSingle,CEOgender_Man,,,,,,,,,,,,,,
96,Workforce,"Woman, Not a woman",portionSingle,CEOgender_Woman,,,,,,,,,,,,,,
97,Workforce,"Individual of non-binary gender, Not individual of non-binary gender",portionSingle,CEOgender_NB,,,,,,,,,,,,,,
98,Workforce,"Man, Not a man",portionSingle,BChairgender_Man,,,,,,,,,,,,,,
99,Workforce,"Woman, Not a woman",portionSingle,BChairgender_Woman,,,,,,,,,,,,,,
100,Workforce,"Individual of non-binary gender, Not individual of non-binary gender",portionSingle,BChairgender_NB,,,,,,,,,,,,,,
