filterType,filterOpt,splitByOpt,splitByOpt_category,responseOpt
Region,South,Sector,Health,Median total revenue
Region,South,Sector,Human services,Median total revenue
Region,South,Sector,"International, foreign affairs",Median total revenue
Region,South,Sector,"Public, societal benefit",Median total revenue
Region,South,Rural/Urban,Rural,Median total revenue
Region,South,Rural/Urban,Urban,Median total revenue
Region,South,State,AL,Median total revenue
Region,South,State,AR,Median total revenue
Region,South,State,DC,Median total revenue
Region,South,State,DE,Median total revenue
Region,South,State,FL,Median total revenue
Region,South,State,GA,Median total revenue
Region,South,State,KY,Median total revenue
Region,South,State,LA,Median total revenue
Region,South,State,MD,Median total revenue
Region,South,State,MS,Median total revenue
Region,South,State,NC,Median total revenue
Region,South,State,OK,Median total revenue
Region,South,State,SC,Median total revenue
Region,South,State,TN,Median total revenue
Region,South,State,TX,Median total revenue
Region,South,State,VA,Median total revenue
Region,South,State,WV,Median total revenue
Region,West,"","",Median total revenue
Region,West,Size,"< $100,000",Median total revenue
Region,West,Size,"$100,000 - $499,999",Median total revenue
Region,West,Size,"$500,000 - $999,999",Median total revenue
Region,West,Size,"$1 million - $9,999,999",Median total revenue
Region,West,Size,$10 million and above,Median total revenue
Region,West,Sector,"Arts, culture, and humanities",Median total revenue
Region,West,Sector,Education,Median total revenue
Region,West,Sector,Environment and animals,Median total revenue
Region,West,Sector,Health,Median total revenue
Region,West,Sector,Human services,Median total revenue
Region,West,Sector,"International, foreign affairs",Median total revenue
Region,West,Sector,"Public, societal benefit",Median total revenue
Region,West,Rural/Urban,Rural,Median total revenue
Region,West,Rural/Urban,Urban,Median total revenue
Region,West,State,AK,Median total revenue
Region,West,State,AZ,Median total revenue
Region,West,State,CA,Median total revenue
Region,West,State,CO,Median total revenue
Region,West,State,HI,Median total revenue
Region,West,State,ID,Median total revenue
Region,West,State,MT,Median total revenue
Region,West,State,NV,Median total revenue
Region,West,State,NM,Median total revenue
Region,West,State,OR,Median total revenue
Region,West,State,UT,Median total revenue
Region,West,State,WA,Median total revenue
Region,West,State,WY,Median total revenue
State,AL,"","",Median total revenue
State,AL,Size,"< $100,000",Median total revenue
State,AL,Size,"$100,000 - $499,999",Median total revenue
State,AL,Size,"$500,000 - $999,999",Median total revenue
State,AL,Size,"$1 million - $9,999,999",Median total revenue
State,AL,Size,$10 million and above,Median total revenue
State,AL,Sector,"Arts, culture, and humanities",Median total revenue
State,AL,Sector,Education,Median total revenue
State,AL,Sector,Environment and animals,Median total revenue
State,AL,Sector,Health,Median total revenue
State,AL,Sector,Human services,Median total revenue
State,AL,Sector,"International, foreign affairs",Median total revenue
State,AL,Sector,"Public, societal benefit",Median total revenue
State,AL,Rural/Urban,Rural,Median total revenue
State,AL,Rural/Urban,Urban,Median total revenue
State,AK,"","",Median total revenue
State,AK,Size,"< $100,000",Median total revenue
State,AK,Size,"$100,000 - $499,999",Median total revenue
State,AK,Size,"$500,000 - $999,999",Median total revenue
State,AK,Size,"$1 million - $9,999,999",Median total revenue
State,AK,Size,$10 million and above,Median total revenue
State,AK,Sector,"Arts, culture, and humanities",Median total revenue
State,AK,Sector,Education,Median total revenue
State,AK,Sector,Environment and animals,Median total revenue
State,AK,Sector,Health,Median total revenue
State,AK,Sector,Human services,Median total revenue
State,AK,Sector,"International, foreign affairs",Median total revenue
State,AK,Sector,"Public, societal benefit",Median total revenue
State,AK,Rural/Urban,Rural,Median total revenue
State,AK,Rural/Urban,Urban,Median total revenue
State,AZ,"","",Median total revenue
State,AZ,Size,"< $100,000",Median total revenue
State,AZ,Size,"$100,000 - $499,999",Median total revenue
State,AZ,Size,"$500,000 - $999,999",Median total revenue
State,AZ,Size,"$1 million - $9,999,999",Median total revenue
State,AZ,Size,$10 million and above,Median total revenue
State,AZ,Sector,"Arts, culture, and humanities",Median total revenue
State,AZ,Sector,Education,Median total revenue
State,AZ,Sector,Environment and animals,Median total revenue
State,AZ,Sector,Health,Median total revenue
State,AZ,Sector,Human services,Median total revenue
State,AZ,Sector,"International, foreign affairs",Median total revenue
State,AZ,Sector,"Public, societal benefit",Median total revenue
State,AZ,Rural/Urban,Rural,Median total revenue
State,AZ,Rural/Urban,Urban,Median total revenue
State,AR,"","",Median total revenue
State,AR,Size,"< $100,000",Median total revenue
State,AR,Size,"$100,000 - $499,999",Median total revenue
State,AR,Size,"$500,000 - $999,999",Median total revenue
State,AR,Size,"$1 million - $9,999,999",Median total revenue
State,AR,Size,$10 million and above,Median total revenue
State,AR,Sector,"Arts, culture, and humanities",Median total revenue
State,AR,Sector,Education,Median total revenue
State,AR,Sector,Environment and animals,Median total revenue
State,AR,Sector,Health,Median total revenue
State,AR,Sector,Human services,Median total revenue
State,AR,Sector,"International, foreign affairs",Median total revenue
State,AR,Sector,"Public, societal benefit",Median total revenue
State,AR,Rural/Urban,Rural,Median total revenue
State,AR,Rural/Urban,Urban,Median total revenue
State,CA,"","",Median total revenue
State,CA,Size,"< $100,000",Median total revenue
State,CA,Size,"$100,000 - $499,999",Median total revenue
State,CA,Size,"$500,000 - $999,999",Median total revenue
State,CA,Size,"$1 million - $9,999,999",Median total revenue
State,CA,Size,$10 million and above,Median total revenue
State,CA,Sector,"Arts, culture, and humanities",Median total revenue
State,CA,Sector,Education,Median total revenue
State,CA,Sector,Environment and animals,Median total revenue
State,CA,Sector,Health,Median total revenue
State,CA,Sector,Human services,Median total revenue
State,CA,Sector,"International, foreign affairs",Median total revenue
State,CA,Sector,"Public, societal benefit",Median total revenue
State,CA,Rural/Urban,Rural,Median total revenue
State,CA,Rural/Urban,Urban,Median total revenue
State,CO,"","",Median total revenue
State,CO,Size,"< $100,000",Median total revenue
State,CO,Size,"$100,000 - $499,999",Median total revenue
State,CO,Size,"$500,000 - $999,999",Median total revenue
State,CO,Size,"$1 million - $9,999,999",Median total revenue
State,CO,Size,$10 million and above,Median total revenue
State,CO,Sector,"Arts, culture, and humanities",Median total revenue
State,CO,Sector,Education,Median total revenue
State,CO,Sector,Environment and animals,Median total revenue
State,CO,Sector,Health,Median total revenue
State,CO,Sector,Human services,Median total revenue
State,CO,Sector,"International, foreign affairs",Median total revenue
State,CO,Sector,"Public, societal benefit",Median total revenue
State,CO,Rural/Urban,Rural,Median total revenue
State,CO,Rural/Urban,Urban,Median total revenue
State,CT,"","",Median total revenue
State,CT,Size,"< $100,000",Median total revenue
State,CT,Size,"$100,000 - $499,999",Median total revenue
State,CT,Size,"$500,000 - $999,999",Median total revenue
State,CT,Size,"$1 million - $9,999,999",Median total revenue
State,CT,Size,$10 million and above,Median total revenue
State,CT,Sector,"Arts, culture, and humanities",Median total revenue
State,CT,Sector,Education,Median total revenue
State,CT,Sector,Environment and animals,Median total revenue
State,CT,Sector,Health,Median total revenue
State,CT,Sector,Human services,Median total revenue
State,CT,Sector,"International, foreign affairs",Median total revenue
State,CT,Sector,"Public, societal benefit",Median total revenue
State,CT,Rural/Urban,Rural,Median total revenue
State,CT,Rural/Urban,Urban,Median total revenue
State,DC,"","",Median total revenue
State,DC,Size,"< $100,000",Median total revenue
State,DC,Size,"$100,000 - $499,999",Median total revenue
State,DC,Size,"$500,000 - $999,999",Median total revenue
State,DC,Size,"$1 million - $9,999,999",Median total revenue
State,DC,Size,$10 million and above,Median total revenue
State,DC,Sector,"Arts, culture, and humanities",Median total revenue
State,DC,Sector,Education,Median total revenue
State,DC,Sector,Environment and animals,Median total revenue
State,DC,Sector,Health,Median total revenue
State,DC,Sector,Human services,Median total revenue
State,DC,Sector,"International, foreign affairs",Median total revenue
State,DC,Sector,"Public, societal benefit",Median total revenue
State,DC,Rural/Urban,Rural,Median total revenue
State,DC,Rural/Urban,Urban,Median total revenue
State,DE,"","",Median total revenue
State,DE,Size,"< $100,000",Median total revenue
State,DE,Size,"$100,000 - $499,999",Median total revenue
State,DE,Size,"$500,000 - $999,999",Median total revenue
State,DE,Size,"$1 million - $9,999,999",Median total revenue
State,DE,Size,$10 million and above,Median total revenue
State,DE,Sector,"Arts, culture, and humanities",Median total revenue
State,DE,Sector,Education,Median total revenue
State,DE,Sector,Environment and animals,Median total revenue
State,DE,Sector,Health,Median total revenue
State,DE,Sector,Human services,Median total revenue
State,DE,Sector,"International, foreign affairs",Median total revenue
State,DE,Sector,"Public, societal benefit",Median total revenue
State,DE,Rural/Urban,Rural,Median total revenue
State,DE,Rural/Urban,Urban,Median total revenue
State,FL,"","",Median total revenue
State,FL,Size,"< $100,000",Median total revenue
State,FL,Size,"$100,000 - $499,999",Median total revenue
State,FL,Size,"$500,000 - $999,999",Median total revenue
State,FL,Size,"$1 million - $9,999,999",Median total revenue
State,FL,Size,$10 million and above,Median total revenue
State,FL,Sector,"Arts, culture, and humanities",Median total revenue
State,FL,Sector,Education,Median total revenue
State,FL,Sector,Environment and animals,Median total revenue
State,FL,Sector,Health,Median total revenue
State,FL,Sector,Human services,Median total revenue
State,FL,Sector,"International, foreign affairs",Median total revenue
State,FL,Sector,"Public, societal benefit",Median total revenue
State,FL,Rural/Urban,Rural,Median total revenue
State,FL,Rural/Urban,Urban,Median total revenue
State,GA,"","",Median total revenue
State,GA,Size,"< $100,000",Median total revenue
State,GA,Size,"$100,000 - $499,999",Median total revenue
State,GA,Size,"$500,000 - $999,999",Median total revenue
State,GA,Size,"$1 million - $9,999,999",Median total revenue
State,GA,Size,$10 million and above,Median total revenue
State,GA,Sector,"Arts, culture, and humanities",Median total revenue
State,GA,Sector,Education,Median total revenue
State,GA,Sector,Environment and animals,Median total revenue
State,GA,Sector,Health,Median total revenue
State,GA,Sector,Human services,Median total revenue
State,GA,Sector,"International, foreign affairs",Median total revenue
State,GA,Sector,"Public, societal benefit",Median total revenue
State,GA,Rural/Urban,Rural,Median total revenue
State,GA,Rural/Urban,Urban,Median total revenue
State,HI,"","",Median total revenue
State,HI,Size,"< $100,000",Median total revenue
State,HI,Size,"$100,000 - $499,999",Median total revenue
State,HI,Size,"$500,000 - $999,999",Median total revenue
State,HI,Size,"$1 million - $9,999,999",Median total revenue
State,HI,Size,$10 million and above,Median total revenue
State,HI,Sector,"Arts, culture, and humanities",Median total revenue
State,HI,Sector,Education,Median total revenue
State,HI,Sector,Environment and animals,Median total revenue
State,HI,Sector,Health,Median total revenue
State,HI,Sector,Human services,Median total revenue
State,HI,Sector,"International, foreign affairs",Median total revenue
State,HI,Sector,"Public, societal benefit",Median total revenue
State,HI,Rural/Urban,Rural,Median total revenue
State,HI,Rural/Urban,Urban,Median total revenue
State,ID,"","",Median total revenue
State,ID,Size,"< $100,000",Median total revenue
State,ID,Size,"$100,000 - $499,999",Median total revenue
State,ID,Size,"$500,000 - $999,999",Median total revenue
State,ID,Size,"$1 million - $9,999,999",Median total revenue
State,ID,Size,$10 million and above,Median total revenue
State,ID,Sector,"Arts, culture, and humanities",Median total revenue
State,ID,Sector,Education,Median total revenue
State,ID,Sector,Environment and animals,Median total revenue
State,ID,Sector,Health,Median total revenue
State,ID,Sector,Human services,Median total revenue
State,ID,Sector,"International, foreign affairs",Median total revenue
State,ID,Sector,"Public, societal benefit",Median total revenue
State,ID,Rural/Urban,Rural,Median total revenue
State,ID,Rural/Urban,Urban,Median total revenue
State,IL,"","",Median total revenue
State,IL,Size,"< $100,000",Median total revenue
State,IL,Size,"$100,000 - $499,999",Median total revenue
State,IL,Size,"$500,000 - $999,999",Median total revenue
State,IL,Size,"$1 million - $9,999,999",Median total revenue
State,IL,Size,$10 million and above,Median total revenue
State,IL,Sector,"Arts, culture, and humanities",Median total revenue
State,IL,Sector,Education,Median total revenue
State,IL,Sector,Environment and animals,Median total revenue
State,IL,Sector,Health,Median total revenue
State,IL,Sector,Human services,Median total revenue
State,IL,Sector,"International, foreign affairs",Median total revenue
State,IL,Sector,"Public, societal benefit",Median total revenue
State,IL,Rural/Urban,Rural,Median total revenue
State,IL,Rural/Urban,Urban,Median total revenue
State,IN,"","",Median total revenue
State,IN,Size,"< $100,000",Median total revenue
State,IN,Size,"$100,000 - $499,999",Median total revenue
State,IN,Size,"$500,000 - $999,999",Median total revenue
State,IN,Size,"$1 million - $9,999,999",Median total revenue
State,IN,Size,$10 million and above,Median total revenue
State,IN,Sector,"Arts, culture, and humanities",Median total revenue
State,IN,Sector,Education,Median total revenue
State,IN,Sector,Environment and animals,Median total revenue
State,IN,Sector,Health,Median total revenue
State,IN,Sector,Human services,Median total revenue
State,IN,Sector,"International, foreign affairs",Median total revenue
State,IN,Sector,"Public, societal benefit",Median total revenue
State,IN,Rural/Urban,Rural,Median total revenue
State,IN,Rural/Urban,Urban,Median total revenue
State,IA,"","",Median total revenue
State,IA,Size,"< $100,000",Median total revenue
State,IA,Size,"$100,000 - $499,999",Median total revenue
State,IA,Size,"$500,000 - $999,999",Median total revenue
State,IA,Size,"$1 million - $9,999,999",Median total revenue
State,IA,Size,$10 million and above,Median total revenue
State,IA,Sector,"Arts, culture, and humanities",Median total revenue
State,IA,Sector,Education,Median total revenue
State,IA,Sector,Environment and animals,Median total revenue
State,IA,Sector,Health,Median total revenue
State,IA,Sector,Human services,Median total revenue
State,IA,Sector,"International, foreign affairs",Median total revenue
State,IA,Sector,"Public, societal benefit",Median total revenue
State,IA,Rural/Urban,Rural,Median total revenue
State,IA,Rural/Urban,Urban,Median total revenue
State,KS,"","",Median total revenue
State,KS,Size,"< $100,000",Median total revenue
State,KS,Size,"$100,000 - $499,999",Median total revenue
State,KS,Size,"$500,000 - $999,999",Median total revenue
State,KS,Size,"$1 million - $9,999,999",Median total revenue
State,KS,Size,$10 million and above,Median total revenue
State,KS,Sector,"Arts, culture, and humanities",Median total revenue
State,KS,Sector,Education,Median total revenue
State,KS,Sector,Environment and animals,Median total revenue
State,KS,Sector,Health,Median total revenue
State,KS,Sector,Human services,Median total revenue
State,KS,Sector,"International, foreign affairs",Median total revenue
State,KS,Sector,"Public, societal benefit",Median total revenue
State,KS,Rural/Urban,Rural,Median total revenue
State,KS,Rural/Urban,Urban,Median total revenue
State,KY,"","",Median total revenue
State,KY,Size,"< $100,000",Median total revenue
State,KY,Size,"$100,000 - $499,999",Median total revenue
State,KY,Size,"$500,000 - $999,999",Median total revenue
State,KY,Size,"$1 million - $9,999,999",Median total revenue
State,KY,Size,$10 million and above,Median total revenue
State,KY,Sector,"Arts, culture, and humanities",Median total revenue
State,KY,Sector,Education,Median total revenue
State,KY,Sector,Environment and animals,Median total revenue
State,KY,Sector,Health,Median total revenue
State,KY,Sector,Human services,Median total revenue
State,KY,Sector,"International, foreign affairs",Median total revenue
State,KY,Sector,"Public, societal benefit",Median total revenue
State,KY,Rural/Urban,Rural,Median total revenue
State,KY,Rural/Urban,Urban,Median total revenue
State,LA,"","",Median total revenue
State,LA,Size,"< $100,000",Median total revenue
State,LA,Size,"$100,000 - $499,999",Median total revenue
State,LA,Size,"$500,000 - $999,999",Median total revenue
State,LA,Size,"$1 million - $9,999,999",Median total revenue
State,LA,Size,$10 million and above,Median total revenue
State,LA,Sector,"Arts, culture, and humanities",Median total revenue
State,LA,Sector,Education,Median total revenue
State,LA,Sector,Environment and animals,Median total revenue
State,LA,Sector,Health,Median total revenue
State,LA,Sector,Human services,Median total revenue
State,LA,Sector,"International, foreign affairs",Median total revenue
State,LA,Sector,"Public, societal benefit",Median total revenue
State,LA,Rural/Urban,Rural,Median total revenue
State,LA,Rural/Urban,Urban,Median total revenue
State,ME,"","",Median total revenue
State,ME,Size,"< $100,000",Median total revenue
State,ME,Size,"$100,000 - $499,999",Median total revenue
State,ME,Size,"$500,000 - $999,999",Median total revenue
State,ME,Size,"$1 million - $9,999,999",Median total revenue
State,ME,Size,$10 million and above,Median total revenue
State,ME,Sector,"Arts, culture, and humanities",Median total revenue
State,ME,Sector,Education,Median total revenue
State,ME,Sector,Environment and animals,Median total revenue
State,ME,Sector,Health,Median total revenue
State,ME,Sector,Human services,Median total revenue
State,ME,Sector,"International, foreign affairs",Median total revenue
State,ME,Sector,"Public, societal benefit",Median total revenue
State,ME,Rural/Urban,Rural,Median total revenue
State,ME,Rural/Urban,Urban,Median total revenue
State,MD,"","",Median total revenue
State,MD,Size,"< $100,000",Median total revenue
State,MD,Size,"$100,000 - $499,999",Median total revenue
State,MD,Size,"$500,000 - $999,999",Median total revenue
State,MD,Size,"$1 million - $9,999,999",Median total revenue
State,MD,Size,$10 million and above,Median total revenue
State,MD,Sector,"Arts, culture, and humanities",Median total revenue
State,MD,Sector,Education,Median total revenue
State,MD,Sector,Environment and animals,Median total revenue
State,MD,Sector,Health,Median total revenue
State,MD,Sector,Human services,Median total revenue
State,MD,Sector,"International, foreign affairs",Median total revenue
State,MD,Sector,"Public, societal benefit",Median total revenue
State,MD,Rural/Urban,Rural,Median total revenue
State,MD,Rural/Urban,Urban,Median total revenue
State,MA,"","",Median total revenue
State,MA,Size,"< $100,000",Median total revenue
State,MA,Size,"$100,000 - $499,999",Median total revenue
State,MA,Size,"$500,000 - $999,999",Median total revenue
State,MA,Size,"$1 million - $9,999,999",Median total revenue
State,MA,Size,$10 million and above,Median total revenue
State,MA,Sector,"Arts, culture, and humanities",Median total revenue
State,MA,Sector,Education,Median total revenue
State,MA,Sector,Environment and animals,Median total revenue
State,MA,Sector,Health,Median total revenue
State,MA,Sector,Human services,Median total revenue
State,MA,Sector,"International, foreign affairs",Median total revenue
State,MA,Sector,"Public, societal benefit",Median total revenue
State,MA,Rural/Urban,Rural,Median total revenue
State,MA,Rural/Urban,Urban,Median total revenue
State,MI,"","",Median total revenue
State,MI,Size,"< $100,000",Median total revenue
State,MI,Size,"$100,000 - $499,999",Median total revenue
State,MI,Size,"$500,000 - $999,999",Median total revenue
State,MI,Size,"$1 million - $9,999,999",Median total revenue
State,MI,Size,$10 million and above,Median total revenue
State,MI,Sector,"Arts, culture, and humanities",Median total revenue
State,MI,Sector,Education,Median total revenue
State,MI,Sector,Environment and animals,Median total revenue
State,MI,Sector,Health,Median total revenue
State,MI,Sector,Human services,Median total revenue
State,MI,Sector,"International, foreign affairs",Median total revenue
State,MI,Sector,"Public, societal benefit",Median total revenue
State,MI,Rural/Urban,Rural,Median total revenue
State,MI,Rural/Urban,Urban,Median total revenue
State,MN,"","",Median total revenue
State,MN,Size,"< $100,000",Median total revenue
State,MN,Size,"$100,000 - $499,999",Median total revenue
State,MN,Size,"$500,000 - $999,999",Median total revenue
State,MN,Size,"$1 million - $9,999,999",Median total revenue
State,MN,Size,$10 million and above,Median total revenue
State,MN,Sector,"Arts, culture, and humanities",Median total revenue
State,MN,Sector,Education,Median total revenue
State,MN,Sector,Environment and animals,Median total revenue
State,MN,Sector,Health,Median total revenue
State,MN,Sector,Human services,Median total revenue
State,MN,Sector,"International, foreign affairs",Median total revenue
State,MN,Sector,"Public, societal benefit",Median total revenue
State,MN,Rural/Urban,Rural,Median total revenue
State,MN,Rural/Urban,Urban,Median total revenue
State,MS,"","",Median total revenue
State,MS,Size,"< $100,000",Median total revenue
State,MS,Size,"$100,000 - $499,999",Median total revenue
State,MS,Size,"$500,000 - $999,999",Median total revenue
State,MS,Size,"$1 million - $9,999,999",Median total revenue
State,MS,Size,$10 million and above,Median total revenue
State,MS,Sector,"Arts, culture, and humanities",Median total revenue
State,MS,Sector,Education,Median total revenue
State,MS,Sector,Environment and animals,Median total revenue
State,MS,Sector,Health,Median total revenue
State,MS,Sector,Human services,Median total revenue
State,MS,Sector,"International, foreign affairs",Median total revenue
State,MS,Sector,"Public, societal benefit",Median total revenue
State,MS,Rural/Urban,Rural,Median total revenue
State,MS,Rural/Urban,Urban,Median total revenue
State,MO,"","",Median total revenue
State,MO,Size,"< $100,000",Median total revenue
State,MO,Size,"$100,000 - $499,999",Median total revenue
State,MO,Size,"$500,000 - $999,999",Median total revenue
State,MO,Size,"$1 million - $9,999,999",Median total revenue
State,MO,Size,$10 million and above,Median total revenue
State,MO,Sector,"Arts, culture, and humanities",Median total revenue
State,MO,Sector,Education,Median total revenue
State,MO,Sector,Environment and animals,Median total revenue
State,MO,Sector,Health,Median total revenue
State,MO,Sector,Human services,Median total revenue
State,MO,Sector,"International, foreign affairs",Median total revenue
State,MO,Sector,"Public, societal benefit",Median total revenue
State,MO,Rural/Urban,Rural,Median total revenue
State,MO,Rural/Urban,Urban,Median total revenue
State,MT,"","",Median total revenue
State,MT,Size,"< $100,000",Median total revenue
State,MT,Size,"$100,000 - $499,999",Median total revenue
State,MT,Size,"$500,000 - $999,999",Median total revenue
State,MT,Size,"$1 million - $9,999,999",Median total revenue
State,MT,Size,$10 million and above,Median total revenue
State,MT,Sector,"Arts, culture, and humanities",Median total revenue
State,MT,Sector,Education,Median total revenue
State,MT,Sector,Environment and animals,Median total revenue
State,MT,Sector,Health,Median total revenue
State,MT,Sector,Human services,Median total revenue
State,MT,Sector,"International, foreign affairs",Median total revenue
State,MT,Sector,"Public, societal benefit",Median total revenue
State,MT,Rural/Urban,Rural,Median total revenue
State,MT,Rural/Urban,Urban,Median total revenue
State,NE,"","",Median total revenue
State,NE,Size,"< $100,000",Median total revenue
State,NE,Size,"$100,000 - $499,999",Median total revenue
State,NE,Size,"$500,000 - $999,999",Median total revenue
State,NE,Size,"$1 million - $9,999,999",Median total revenue
State,NE,Size,$10 million and above,Median total revenue
State,NE,Sector,"Arts, culture, and humanities",Median total revenue
State,NE,Sector,Education,Median total revenue
State,NE,Sector,Environment and animals,Median total revenue
State,NE,Sector,Health,Median total revenue
State,NE,Sector,Human services,Median total revenue
State,NE,Sector,"International, foreign affairs",Median total revenue
State,NE,Sector,"Public, societal benefit",Median total revenue
State,NE,Rural/Urban,Rural,Median total revenue
State,NE,Rural/Urban,Urban,Median total revenue
State,NV,"","",Median total revenue
State,NV,Size,"< $100,000",Median total revenue
State,NV,Size,"$100,000 - $499,999",Median total revenue
State,NV,Size,"$500,000 - $999,999",Median total revenue
State,NV,Size,"$1 million - $9,999,999",Median total revenue
State,NV,Size,$10 million and above,Median total revenue
State,NV,Sector,"Arts, culture, and humanities",Median total revenue
State,NV,Sector,Education,Median total revenue
State,NV,Sector,Environment and animals,Median total revenue
State,NV,Sector,Health,Median total revenue
State,NV,Sector,Human services,Median total revenue
State,NV,Sector,"International, foreign affairs",Median total revenue
State,NV,Sector,"Public, societal benefit",Median total revenue
State,NV,Rural/Urban,Rural,Median total revenue
State,NV,Rural/Urban,Urban,Median total revenue
State,NH,"","",Median total revenue
State,NH,Size,"< $100,000",Median total revenue
State,NH,Size,"$100,000 - $499,999",Median total revenue
State,NH,Size,"$500,000 - $999,999",Median total revenue
