"","qname","group_x","group_n","group","group_levels","description","main","sub"
"45","ProgChanges_14","X",15,"ProgChanges","Made other changes to restructure programs or services (please list):","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020? - Made other changes to restructure programs or services (please list):","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020?","Made other changes to restructure programs or services (please list):"
"46","ProgChanges_14_TEXT","X",15,"ProgChanges","Made other changes to restructure programs or services (please list): - Text","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020? - Made other changes to restructure programs or services (please list): - Text","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020?","Made other changes to restructure programs or services (please list): - Text"
"47","PeopleServed#1_1_1","X",2,"PeopleServed#1","of People Served","DEMAND FOR SERVICES 4. Approximately how many people do you estimate your organization served and... - 2021 - Number of People Served - (best estimate)","DEMAND FOR SERVICES 4. Approximately how many people do you estimate your organization served and...","2021 - Number of People Served - (best estimate)"
"48","PeopleServed#1_2_1","X",2,"PeopleServed#1","Seeking Services but Unable to Serve by the End of the Year (e.g., n... - Number Seeking Services but Unable to Serve by the End of the Year (e.g., number on wait list)","DEMAND FOR SERVICES 4. Approximately how many people do you estimate your organization served and... - 2021 - Number Seeking Services but Unable to Serve by the End of the Year (e.g., n... - Number Seeking Services but Unable to Serve by the End of the Year (e.g., number on wait list) - (best estimate)","DEMAND FOR SERVICES 4. Approximately how many people do you estimate your organization served and...","2021 - Number Seeking Services but Unable to Serve by the End of the Year (e.g., n... - Number Seeking Services but Unable to Serve by the End of the Year (e.g., number on wait list) - (best estimate)"
"49","PeopleServed#2_1_1","X",2,"PeopleServed#2","of People Served","DEMAND FOR SERVICES 4. Approximately how many people do you estimate your organization served and... - Check here if not applicable for your organization - Number of People Served - N/A","DEMAND FOR SERVICES 4. Approximately how many people do you estimate your organization served and...","Check here if not applicable for your organization - Number of People Served - N/A"
"50","PeopleServed#2_2_1","X",2,"PeopleServed#2","Seeking Services but Unable to Serve by the End of the Year (e.g., number on wait list)","DEMAND FOR SERVICES 4. Approximately how many people do you estimate your organization served and... - Check here if not applicable for your organization - Number Seeking Services but Unable to Serve by the End of the Year (e.g., number on wait list) - N/A","DEMAND FOR SERVICES 4. Approximately how many people do you estimate your organization served and...","Check here if not applicable for your organization - Number Seeking Services but Unable to Serve by the End of the Year (e.g., number on wait list) - N/A"
"51","DemandNextYear","",1,"DemandNextYear",NA,"5. In the next year, do you anticipate the demand for your programs to decrease, stay the same, or increase?","5. In the next year, do you anticipate the demand for your programs to decrease, stay the same, or increase?",""
"52","Staff#1_1_1","X",9,"Staff#1","Full-time paid staff (35 or more hours /week) - (best estimate)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - 2021 - Full-time paid staff (35 or more hours /week) - (best estimate)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","2021 - Full-time paid staff (35 or more hours /week) - (best estimate)"
"53","Staff#1_2_1","X",9,"Staff#1","Part-time paid staff (less than 35 hours/week) - (best estimate)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - 2021 - Part-time paid staff (less than 35 hours/week) - (best estimate)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","2021 - Part-time paid staff (less than 35 hours/week) - (best estimate)"
"54","Staff#1_3_1","X",9,"Staff#1","Board Members - (best estimate)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - 2021 - Board Members - (best estimate)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","2021 - Board Members - (best estimate)"
"55","Staff#1_4_1","X",9,"Staff#1","Regular volunteers (including voluntary staff who perform duties for the or... - Regular volunteers (including voluntary staff who perform duties for the organization each week) - (best estimate)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - 2021 - Regular volunteers (including voluntary staff who perform duties for the or... - Regular volunteers (including voluntary staff who perform duties for the organization each week) - (best estimate)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","2021 - Regular volunteers (including voluntary staff who perform duties for the or... - Regular volunteers (including voluntary staff who perform duties for the organization each week) - (best estimate)"
"56","Staff#1_5_1","X",9,"Staff#1","Episodic volunteers (persons involved for a particular purpose or event, su... - Episodic volunteers (persons involved for a particular purpose or event, such as a fundraising event, walk-a-thon, annual meeting, volunteer consulting, etc.) - (best estimate)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - 2021 - Episodic volunteers (persons involved for a particular purpose or event, su... - Episodic volunteers (persons involved for a particular purpose or event, such as a fundraising event, walk-a-thon, annual meeting, volunteer consulting, etc.) - (best estimate)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","2021 - Episodic volunteers (persons involved for a particular purpose or event, su... - Episodic volunteers (persons involved for a particular purpose or event, such as a fundraising event, walk-a-thon, annual meeting, volunteer consulting, etc.) - (best estimate)"
"57","Staff#1_6_1","X",9,"Staff#1","AmeriCorps volunteers assigned to your organization - (best estimate)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - 2021 - AmeriCorps volunteers assigned to your organization - (best estimate)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","2021 - AmeriCorps volunteers assigned to your organization - (best estimate)"
"58","Staff#1_7_1","X",9,"Staff#1","Paid Consultants (paid by your organization or a funder) - (best estimate)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - 2021 - Paid Consultants (paid by your organization or a funder) - (best estimate)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","2021 - Paid Consultants (paid by your organization or a funder) - (best estimate)"
"59","Staff#1_8_TEXT","X",9,"Staff#1","Other (please specify): - Text","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - 2021 - Other (please specify): - Text","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","2021 - Other (please specify): - Text"
"60","Staff#1_8_1","X",9,"Staff#1","Other (please specify): - (best estimate)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - 2021 - Other (please specify): - (best estimate)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","2021 - Other (please specify): - (best estimate)"
"61","Staff#2_1_1","X",9,"Staff#2","Full-time paid staff (35 or more hours /week) - (best estimate, expected)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - 2022 - Full-time paid staff (35 or more hours /week) - (best estimate, expected)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","2022 - Full-time paid staff (35 or more hours /week) - (best estimate, expected)"
"62","Staff#2_2_1","X",9,"Staff#2","Part-time paid staff (less than 35 hours/week) - (best estimate, expected)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - 2022 - Part-time paid staff (less than 35 hours/week) - (best estimate, expected)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","2022 - Part-time paid staff (less than 35 hours/week) - (best estimate, expected)"
"63","Staff#2_3_1","X",9,"Staff#2","Board Members - (best estimate, expected)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - 2022 - Board Members - (best estimate, expected)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","2022 - Board Members - (best estimate, expected)"
"64","Staff#2_4_1","X",9,"Staff#2","Regular volunteers (including voluntary staff who perform duties for the or... - Regular volunteers (including voluntary staff who perform duties for the organization each week) - (best estimate, expected)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - 2022 - Regular volunteers (including voluntary staff who perform duties for the or... - Regular volunteers (including voluntary staff who perform duties for the organization each week) - (best estimate, expected)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","2022 - Regular volunteers (including voluntary staff who perform duties for the or... - Regular volunteers (including voluntary staff who perform duties for the organization each week) - (best estimate, expected)"
"65","Staff#2_5_1","X",9,"Staff#2","Episodic volunteers (persons involved for a particular purpose or event, su... - Episodic volunteers (persons involved for a particular purpose or event, such as a fundraising event, walk-a-thon, annual meeting, volunteer consulting, etc.) - (best estimate, expected)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - 2022 - Episodic volunteers (persons involved for a particular purpose or event, su... - Episodic volunteers (persons involved for a particular purpose or event, such as a fundraising event, walk-a-thon, annual meeting, volunteer consulting, etc.) - (best estimate, expected)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","2022 - Episodic volunteers (persons involved for a particular purpose or event, su... - Episodic volunteers (persons involved for a particular purpose or event, such as a fundraising event, walk-a-thon, annual meeting, volunteer consulting, etc.) - (best estimate, expected)"
"66","Staff#2_6_1","X",9,"Staff#2","AmeriCorps volunteers assigned to your organization - (best estimate, expected)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - 2022 - AmeriCorps volunteers assigned to your organization - (best estimate, expected)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","2022 - AmeriCorps volunteers assigned to your organization - (best estimate, expected)"
"67","Staff#2_7_1","X",9,"Staff#2","Paid Consultants (paid by your organization or a funder) - (best estimate, expected)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - 2022 - Paid Consultants (paid by your organization or a funder) - (best estimate, expected)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","2022 - Paid Consultants (paid by your organization or a funder) - (best estimate, expected)"
"68","Staff#2_8_TEXT","X",9,"Staff#2","Other (please specify): - Text","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - 2022 - Other (please specify): - Text","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","2022 - Other (please specify): - Text"
"69","Staff#2_8_1","X",9,"Staff#2","Other (please specify): - (best estimate, expected)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - 2022 - Other (please specify): - (best estimate, expected)","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","2022 - Other (please specify): - (best estimate, expected)"
"70","Staff#3_1_1","X",9,"Staff#3","Full-time paid staff (35 or more hours /week) - C","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - Check here if not applicable for your organization - Full-time paid staff (35 or more hours /week) - C","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","Check here if not applicable for your organization - Full-time paid staff (35 or more hours /week) - C"
"71","Staff#3_2_1","X",9,"Staff#3","Part-time paid staff (less than 35 hours/week) - C","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - Check here if not applicable for your organization - Part-time paid staff (less than 35 hours/week) - C","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","Check here if not applicable for your organization - Part-time paid staff (less than 35 hours/week) - C"
"72","Staff#3_3_1","X",9,"Staff#3","Board Members - C","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - Check here if not applicable for your organization - Board Members - C","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","Check here if not applicable for your organization - Board Members - C"
"73","Staff#3_4_1","X",9,"Staff#3","Regular volunteers (including voluntary staff who perform duties for the organization each week) - C","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - Check here if not applicable for your organization - Regular volunteers (including voluntary staff who perform duties for the organization each week) - C","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","Check here if not applicable for your organization - Regular volunteers (including voluntary staff who perform duties for the organization each week) - C"
"74","Staff#3_5_1","X",9,"Staff#3","Episodic volunteers (persons involved for a particular purpose or event, such as a fundraising event, walk-a-thon, annual meeting, volunteer consulting, etc.) - C","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - Check here if not applicable for your organization - Episodic volunteers (persons involved for a particular purpose or event, such as a fundraising event, walk-a-thon, annual meeting, volunteer consulting, etc.) - C","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","Check here if not applicable for your organization - Episodic volunteers (persons involved for a particular purpose or event, such as a fundraising event, walk-a-thon, annual meeting, volunteer consulting, etc.) - C"
"75","Staff#3_6_1","X",9,"Staff#3","AmeriCorps volunteers assigned to your organization - C","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - Check here if not applicable for your organization - AmeriCorps volunteers assigned to your organization - C","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","Check here if not applicable for your organization - AmeriCorps volunteers assigned to your organization - C"
"76","Staff#3_7_1","X",9,"Staff#3","Paid Consultants (paid by your organization or a funder) - C","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - Check here if not applicable for your organization - Paid Consultants (paid by your organization or a funder) - C","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","Check here if not applicable for your organization - Paid Consultants (paid by your organization or a funder) - C"
"77","Staff#3_8_1","X",9,"Staff#3","Other (please specify): - C","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - Check here if not applicable for your organization - Other (please specify): - C","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","Check here if not applicable for your organization - Other (please specify): - C"
"78","Staff#3_8_TEXT","X",9,"Staff#3","Other (please specify): - Text","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke... - Check here if not applicable for your organization - Other (please specify): - Text","STAFF & VOLUNTEERS      6. How many (paid and unpaid) people in your organization will have worke...","Check here if not applicable for your organization - Other (please specify): - Text"
"79","VolImportance","",1,"VolImportance",NA,"7. How important were volunteers – other than board members – to the work your organization conducted in 2021?","7. How important were volunteers – other than board members – to the work your organization conducted in 2021?",""
"80","DonImportance","",1,"DonImportance",NA,"8. How important were donations from individuals (including direct donations and indirect donations through federated giving programs, United Way, and donor advised funds, or in-kind donations) to the work of your organization in 2021?","8. How important were donations from individuals (including direct donations and indirect donations through federated giving programs, United Way, and donor advised funds, or in-kind donations) to the work of your organization in 2021?",""
"81","FRchanges_1","X",11,"FRchanges","Developed virtual fundraising appeals, campaigns, events","FUNDRAISING     8.a. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Fundraising, as compared to 2020? - Developed virtual fundraising appeals, campaigns, events","FUNDRAISING     8.a. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Fundraising, as compared to 2020?","Developed virtual fundraising appeals, campaigns, events"
"82","FRchanges_2","X",11,"FRchanges","Increased fundraising expenditures","FUNDRAISING     8.a. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Fundraising, as compared to 2020? - Increased fundraising expenditures","FUNDRAISING     8.a. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Fundraising, as compared to 2020?","Increased fundraising expenditures"
"83","FRchanges_3","X",11,"FRchanges","Reduced fundraising expenditures","FUNDRAISING     8.a. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Fundraising, as compared to 2020? - Reduced fundraising expenditures","FUNDRAISING     8.a. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Fundraising, as compared to 2020?","Reduced fundraising expenditures"
"84","FRchanges_4","X",11,"FRchanges","Added fundraising or development staff","FUNDRAISING     8.a. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Fundraising, as compared to 2020? - Added fundraising or development staff","FUNDRAISING     8.a. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Fundraising, as compared to 2020?","Added fundraising or development staff"
"85","FRchanges_5","X",11,"FRchanges","Reduced fundraising or development staff","FUNDRAISING     8.a. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Fundraising, as compared to 2020? - Reduced fundraising or development staff","FUNDRAISING     8.a. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Fundraising, as compared to 2020?","Reduced fundraising or development staff"
"86","FRchanges_6","X",11,"FRchanges","Hired fundraising consultants","FUNDRAISING     8.a. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Fundraising, as compared to 2020? - Hired fundraising consultants","FUNDRAISING     8.a. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Fundraising, as compared to 2020?","Hired fundraising consultants"
"87","FRchanges_7","X",11,"FRchanges","Reduced the use of fundraising consultants","FUNDRAISING     8.a. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Fundraising, as compared to 2020? - Reduced the use of fundraising consultants","FUNDRAISING     8.a. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Fundraising, as compared to 2020?","Reduced the use of fundraising consultants"
"88","FRchanges_8","X",11,"FRchanges","Increased the use of volunteers for fundraising","FUNDRAISING     8.a. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Fundraising, as compared to 2020? - Increased the use of volunteers for fundraising","FUNDRAISING     8.a. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Fundraising, as compared to 2020?","Increased the use of volunteers for fundraising"
"89","FRchanges_9","X",11,"FRchanges","Decreased the use of volunteers for fundraising","FUNDRAISING     8.a. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Fundraising, as compared to 2020? - Decreased the use of volunteers for fundraising","FUNDRAISING     8.a. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Fundraising, as compared to 2020?","Decreased the use of volunteers for fundraising"
"90","FRchanges_10","X",11,"FRchanges","Other (please list):","FUNDRAISING     8.a. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Fundraising, as compared to 2020? - Other (please list):","FUNDRAISING     8.a. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Fundraising, as compared to 2020?","Other (please list):"
"91","FRchanges_10_TEXT","X",11,"FRchanges","Other (please list): - Text","FUNDRAISING     8.a. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Fundraising, as compared to 2020? - Other (please list): - Text","FUNDRAISING     8.a. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Fundraising, as compared to 2020?","Other (please list): - Text"
"92","FRmajgift_1","",1,"FRmajgift",NA,"8.b. What is the smallest donation amount that your organization would consider to be a major gift? - $","8.b. What is the smallest donation amount that your organization would consider to be a major gift?","$"
"93","FRchanges#1_1","X",7,"FRchanges#1","Overall donations","8.c. To the best of your knowledge, has each of the following categories of donations to your org... - In 2021 compared to 2020 - Overall donations","8.c. To the best of your knowledge, has each of the following categories of donations to your org...","In 2021 compared to 2020 - Overall donations"
"94","FRchanges#1_2","X",7,"FRchanges#1","Cash donations (from individuals) below $250","8.c. To the best of your knowledge, has each of the following categories of donations to your org... - In 2021 compared to 2020 - Cash donations (from individuals) below $250","8.c. To the best of your knowledge, has each of the following categories of donations to your org...","In 2021 compared to 2020 - Cash donations (from individuals) below $250"
"95","FRchanges#1_3","X",7,"FRchanges#1","Cash donations (from individuals) of $250 and above","8.c. To the best of your knowledge, has each of the following categories of donations to your org... - In 2021 compared to 2020 - Cash donations (from individuals) of $250 and above","8.c. To the best of your knowledge, has each of the following categories of donations to your org...","In 2021 compared to 2020 - Cash donations (from individuals) of $250 and above"
